param-Observables,value,success,cilo,cihi,units
2,13.701619140624995,true,13.310,14.093,ms
4,39.34726806640624,true,38.733,39.961,ms
8,87.98183935546895,true,86.896,89.068,ms
16,197.53603857421845,true,195.869,199.203,ms
32,388.8383139648436,true,385.864,391.812,ms
