param-Observables,value,success,cilo,cihi,units
2,19.863041503906224,true,17.148,22.578,ms
4,31.711199707031245,true,30.325,33.097,ms
8,58.042194335937424,true,57.604,58.481,ms
16,122.35739111328121,true,121.531,123.184,ms
32,1.381835937500001E-4,true,0.000,0.000,ms
