param-Choices,value,success,cilo,cihi,units
2,23.03897119140627,true,22.429,23.649,ms
4,42.650520996093746,true,41.892,43.409,ms
8,78.26864941406244,true,76.632,79.905,ms
16,150.61436132812503,true,146.342,154.886,ms
32,280.09799169921854,true,277.533,282.663,ms
