param-Choices,value,success,cilo,cihi,units
2,39.232563476562554,true,38.583,39.882,ms
4,76.82740576171878,true,75.829,77.826,ms
8,156.08907421875014,true,154.083,158.095,ms
16,327.2473681640623,true,323.067,331.427,ms
32,744.5006704101552,true,733.045,755.956,ms
